station,nom_intervenant,num_site,secteur_scian,municipalite,debit_estival_m3s,volume_annuel_moyen_Mm3,premiere_annee,derniere_annee,rang
030103,Pisciculture d'Arthabaska inc.,70445.0,Aquaculture animale,Chesterville,0.009056577060931898,0.11963064,2020.0,2024.0,16
030103,VILLE DE DANVILLE,50507.0,Réseaux d'aqueduc & systèmes d'irrigation,Danville,0.00865156262445241,0.1143638,2020.0,2024.0,17
030103,Station du Mont Gleason inc.,67651.0,Centres de ski,Warwick,0.005791666666666666,0.002502,2021.0,2021.0,18
030103,FERME RÉJEAN BEAUPARLANT INC.,72803.0,Culture de pommes de terre,Notre-Dame-du-Bon-Conseil,0.004217592592592592,0.005466,2021.0,2021.0,19
030103,LES GAZONS STE-JULIE LTEE,72017.0,Autres cultures agricoles,Victoriaville,0.0033423859427609433,0.015803177,2022.0,2023.0,20
030103,+ 7 autres préleveurs,,,,0.010002973126096845,,,,21
030106,Groupe Ataca inc.,67526.0,Culture de noix & de fruits (sauf les agrumes),Sainte-Clotilde-de-Horton,0.14298647617669752,0.0885424434,2020.0,2024.0,1
030106,VILLE DE VICTORIAVILLE,49243.0,Réseaux d'aqueduc & systèmes d'irrigation,Victoriaville,0.13597561230585425,1.7963568,2020.0,2024.0,2
030106,GROUPE ROUGE & OR S.E.N.C.,73239.0,Culture de noix & de fruits (sauf les agrumes),Sainte-Séraphine,0.060387321690012666,0.2980395,2023.0,2024.0,3
030106,GROUPE COLAS QUÉBEC INC.,47487.0,Extraction de pierre,Drummondville,0.05740819145758662,0.5615496666666666,2020.0,2022.0,4
030106,LACTALIS CANADA INC.,43830.0,Fab. de produits laitiers,Victoriaville,0.01861197381521306,0.245938,2020.0,2024.0,5
030106,GROUPE COLAS QUÉBEC INC.,73733.0,Extraction de pierre,Drummondville,0.018031878484667467,0.2383055,2023.0,2024.0,6
030106,Information personnelle,70417.0,Aquaculture animale,Danville,0.0173229113566972,0.20660381333333333,2020.0,2022.0,7
030106,Pisciculture d'Arthabaska inc.,70445.0,Aquaculture animale,Chesterville,0.009056577060931898,0.11963064,2020.0,2024.0,8
030106,VILLE DE DANVILLE,50507.0,Réseaux d'aqueduc & systèmes d'irrigation,Danville,0.00865156262445241,0.1143638,2020.0,2024.0,9
030106,Station du Mont Gleason inc.,67651.0,Centres de ski,Warwick,0.005791666666666666,0.002502,2021.0,2021.0,10
